Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Product Link
1206B475K500NT,FH,10,0.0426,0.43,C29823,1206,10,10,2000,1077010,In Stock,,4.7uF ±10% 50V Ceramic Capacitor X7R 1206,https://www.lcsc.com/product-detail/C29823.html
CC0603KRX7R9BB104,YAGEO,100,0.0031,0.31,C14663,0603,100,100,4000,4000,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,https://www.lcsc.com/product-detail/C14663.html
CL05A105KA5NQNC,Samsung Electro-Mechanics,100,0.0040,0.40,C52923,0402,100,100,10000,5280800,In Stock,,1uF ±10% 25V Ceramic Capacitor X5R 0402,https://www.lcsc.com/product-detail/C52923.html
CL21B103KBANNNC,Samsung Electro-Mechanics,50,0.0072,0.36,C1710,0805,50,50,4000,2204650,In Stock,,10nF ±10% 50V Ceramic Capacitor X7R 0805,https://www.lcsc.com/product-detail/C1710.html
0402CG220J500NT,FH,100,0.0014,0.14,C1555,0402,100,100,10000,1105400,In Stock,,22pF ±5% 50V Ceramic Capacitor C0G 0402,https://www.lcsc.com/product-detail/C1555.html
CL05B104KB54PNC,Samsung Electro-Mechanics,100,0.0047,0.47,C307331,0402,100,100,10000,9088600,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0402,https://www.lcsc.com/product-detail/C307331.html
6TPE330MAP,PANASONIC,1,0.6851,0.69,C79112,"SMD,7.3x4.3mm",1,1,3000,28646,In Stock,,"330uF ±20% 6.3V Tantalum Capacitors 25m?@100kHz SMD,7.3x4.3mm",https://www.lcsc.com/product-detail/C79112.html
0402CG300J500NT,FH,100,0.0013,0.13,C1570,0402,100,100,10000,144400,In Stock,,30pF ±5% 50V Ceramic Capacitor C0G 0402,https://www.lcsc.com/product-detail/C1570.html
SMAJ40CA,R+O,20,0.0335,0.67,C19077552,DO-214AC(SMA),20,20,5000,155060,In Stock,,64.5VC Clamp 6.2A@10/1000us Ipp TVS DIODE DO-214AC(SMA),https://www.lcsc.com/product-detail/C19077552.html
KT-0805Y,Hubei KENTO Elec,50,0.0122,0.61,C2296,0805,50,50,3000,68700,In Stock,,Yellow 596nm LED Indication - Discrete 1.8V~2.4V 0805,https://www.lcsc.com/product-detail/C2296.html
SS54,R+O,10,0.0448,0.45,C7420369,SMA(DO-214AC),10,10,5000,1387830,In Stock,,Diode Independent 40V 5A Surface Mount SMA(DO-214AC),https://www.lcsc.com/product-detail/C7420369.html
TPSM24CANB-02HTG,TECH PUBLIC,10,0.0495,0.50,C970029,SOT-23,10,10,3000,24140,In Stock,,50VC Clamp 5.5A@8/20us Ipp SOT-23,https://www.lcsc.com/product-detail/C970029.html
SS54C,R+O,10,0.0737,0.74,C18199188,SMC,10,10,3000,0,Backordered,,Diode Independent 40V 5A Surface Mount SMC,https://www.lcsc.com/product-detail/C18199188.html
RB751V-40,R+O,50,0.0149,0.75,C7502691,SOD-323,50,50,3000,510250,In Stock,,Diode Independent 40V 0.03A Surface Mount SOD-323,https://www.lcsc.com/product-detail/C7502691.html
KT-0805G,Hubei KENTO Elec,50,0.0163,0.82,C2297,0805,50,50,3000,759200,In Stock,,Emerald Green 525nm LED Indication - Discrete 2.6V~3.1V 0805,https://www.lcsc.com/product-detail/C2297.html
NCD0805R1,NATIONSTAR,50,0.0133,0.67,C84256,0805,50,50,3000,2975000,In Stock,,Red 630nm LED Indication - Discrete 1.6V~2.6V 0805,https://www.lcsc.com/product-detail/C84256.html
1812L200/30GR,LUTE,5,0.0812,0.41,C18198342,1812,5,5,1500,122970,In Stock,,Polymeric PTC Resettable Fuse 30V 2A Surface Mount 1812,https://www.lcsc.com/product-detail/C18198342.html
SRR1260-150M,BOURNS,1,1.3721,1.37,C2041333,"SMD,12.5x12.5mm",1,1,600,484,In Stock,,"5A 15uH ±20% 4.6A 27m? Magnetic Shielded Inductor SMD,12.5x12.5mm Fixed Inductors RoHS",https://www.lcsc.com/product-detail/C2041333.html
0402WGF4700TCE,UNI-ROYAL,100,0.0008,0.08,C25117,0402,100,100,10000,1654200,In Stock,,470? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C25117.html
0402WGF1002TCE,UNI-ROYAL,100,0.0013,0.13,C25744,0402,100,100,10000,0,Backordered,,10k? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C25744.html
0402WGF1001TCE,UNI-ROYAL,100,0.0011,0.11,C11702,0402,100,100,10000,0,Backordered,,1k? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C11702.html
0402WGF4701TCE,UNI-ROYAL,100,0.0010,0.10,C25900,0402,100,100,10000,0,Backordered,,4.7k? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C25900.html
0402WGF6800TCE,UNI-ROYAL,100,0.0011,0.11,C25130,0402,100,100,10000,0,Backordered,,680? ±1% 62.5mW 0402 Thick Film Resistor,https://www.lcsc.com/product-detail/C25130.html
0603WAF1200T5E,UNI-ROYAL,100,0.0014,0.14,C22787,0603,100,100,5000,185100,In Stock,,120? ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C22787.html
0603WAF1001T5E,UNI-ROYAL,100,0.0016,0.16,C21190,0603,100,100,5000,0,Backordered,,1k? ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C21190.html
0603WAF3001T5E,UNI-ROYAL,100,0.0014,0.14,C4211,0603,100,100,5000,1931400,In Stock,,3k? ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C4211.html
0603WAF1500T5E,UNI-ROYAL,100,0.0018,0.18,C22808,0603,100,100,5000,68100,In Stock,,150? ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C22808.html
