Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-HLD-012-SMT-TR,1,Battery_Cell,
"C1, C2, C3",C_1206,3,4.7uF,C29823
"C10, C9",C_0402,2,30pF,C1570
"C11, C12",C_0603,2,100nF,C14663
C4,C_0805,1,10nF,C1710
C5,C_0402,1,22pF,C1555
C6,CAP-SMD_L7.3-W4.3-R-RD,1,6TPE330MAP,C79112
C7,C_0402,1,100nF,C307331
C8,C_0402,1,1uF,C52923
"D1, D2, D4, D5",D_SMA,4,SS54,C7420369
D10,D_0805,1,Green,C2297
D11,D_0805,1,Red,C84256
D12,D_0805,1,Yellow,C2296
D3,SMC_L6.9-W5.9-LS7.9-RD,1,SS54C,C18199188
D6,D_SMA,1,SMAJ40CA,
"D7, D9",D_SOD-323,2,RB751V-40,C7502691
D8,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,TPSM24CANB-02HTG,C970029
"ETH1, ETH2",TMJUTHQ0021192425,2,TMJUTHQ0021192425,
F1,F1812,1,1812L200/30GR,C18198342
"FH1, FH2",FUSE-SMD_4P-L16.0-W6.7-P3.40,2,3568,C5249699
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_4,
"J2, J3",CONN_1-2834011-4_TEC,2,1-2834011-4,
"JP1, JP2",PinHeader_1x03_P2.54mm_Vertical,2,Jumper_3_Open,
L1,IND-SMD_L12.5-W12.5_GSDRK127P,1,SRR1260-150M,C2041333
R1,R_0603x4,1,1kΩ,C20197
"R10, R11, R12",R_0402,3,4.7kΩ,C25900
"R13, R14, R19, R4",R_0402,4,10kΩ,C25744
R15,R_0402,1,680Ω,C25130
"R16, R18, R2, R3, R7, R8",R_0402,6,470Ω,C25117
R17,R_0603,1,120Ω,C22787
R20,R_0603,1,1kΩ,C21190
R5,R_0603,1,3kΩ,C4211
R6,R_0603,1,150Ω,C22808
R9,R_0402,1,1kΩ,C11702
S1,SW_SPST_TS-1088-xR020,1,"Tactile Button, 160gf",C720477
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U2,EMSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP-A,1,TPS1H200AQDGNRQ1,C2653785
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8563T,C7440
U4,SOP-8_3.9x4.9mm_P1.27mm,1,SN65HVD230DR-JSM,C46596299
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
